,0
1329,361118.471176
1330,361118.4712045
1331,361118.4713995
1332,361118.4714782
1333,361118.471606
1334,361118.4718148
1335,361118.4720286
1336,361118.4722072
1337,361118.4867428
1338,361118.4868264
1339,361118.4868569
1340,361118.4868768
1341,361118.4869692
1342,361118.5029829
1343,361118.5031578
1344,361118.5032248
1345,361118.5181939
1346,361118.5184876
1347,361118.5185582
1348,361118.5348263
1349,361118.5351065
1350,361118.5353232
1351,361118.5357833
1352,361118.5360529
1353,361118.5362039
1354,361118.5504417
1355,361118.5506293
1356,361118.5507351
1357,361118.5514573
1358,361118.551834
1359,361118.5657819
1360,361118.5659419
1361,361118.5660921
1362,361118.5813324
1363,361118.5816478
1364,361118.5822136
1365,361118.5968238
1366,361118.5971006
1367,361118.5971574
1368,361118.5971791
1369,361118.6124725
1370,361118.6125319
1371,361118.6125571
1372,361118.6128843
1373,361118.6276707
1374,361118.6281035
1375,361118.6283295
1376,361118.6285053
1377,361118.6437344
1378,361118.6439377
1379,361118.6440618
1380,361118.6442054
1381,361118.6595228
1382,361118.6596006
1383,361118.659622
1384,361118.6754909
1385,361118.6755702
1386,361118.6755915
1387,361118.6756088
1388,361118.6908734
1389,361118.6912028
1390,361118.6914149
1391,361118.6914373
1392,361118.7065945
1393,361118.7069447
1394,361118.7069921
1395,361118.7070274
1396,361118.7529041
1397,361118.768208
1398,361118.768272
1399,361118.7682984
1400,361118.7683597
1401,361118.7684976
1402,361118.7686059
1403,361118.7686579
1404,361118.7686773
1405,361118.7687254
1406,361118.7687606
1407,361118.7844018
1408,361118.7846594
1409,361118.7849205
1410,361118.7852586
1411,361118.7853788
1412,361118.8008112
1413,361118.8012445
1414,361118.8014504
1415,361118.8015574
1416,361118.80207
1417,361118.802479
1418,361118.8026469
1419,361118.8169961
1420,361118.8170508
1421,361118.8170714
1422,361118.8323521
1423,361118.8326037
1424,361118.8330092
1425,361118.8331533
1426,361118.8336183
1427,361118.8337847
1428,361118.8484666
1429,361118.8486425
1430,361118.8487564
1431,361118.8490405
1432,361118.8645994
1433,361118.8651005
1434,361118.8798736
1435,361118.8800422
1436,361118.8800684
1437,361118.8801856
1438,361118.8803813
1439,361118.8959945
1440,361118.896113
1441,361118.896143
1442,361118.8961694
1443,361118.9119553
1444,361118.9120527
1445,361118.9122819
1446,361118.9124161
1447,361118.9278936
1448,361118.9281486
1449,361118.9282114
1450,361118.9282442
1451,361118.928273
1452,361118.9445944
1453,361118.9447674
1454,361118.9450845
1455,361118.9454827
1456,361118.960195
1457,361118.9602703
1458,361118.9603137
1459,361118.9603514
1460,361118.975953
1461,361118.976057
1462,361118.9760896
1463,361118.9761223
1464,361118.991794
1465,361118.9918705
1466,361118.9922521
1467,361119.0233615
1468,361119.0235527
1469,361119.0236608
1470,361119.0385524
1471,361119.0386323
1472,361119.038666
1473,361119.0386838
1474,361119.0387016
1475,361119.0388898
1476,361119.0389414
1477,361119.0389763
1478,361119.0389972
1479,361119.0390871
1480,361119.0545747
1481,361119.0550822
1482,361119.0552667
1483,361119.0557284
1484,361119.0561723
1485,361119.07027
1486,361119.0703325
1487,361119.0705526
1488,361119.1171801
1489,361119.1173389
1490,361119.1322272
1491,361119.1323618
1492,361119.1325074
1493,361119.1326104
1494,361119.1327971
1495,361119.1469973
1496,361119.1470686
1497,361119.1470899
1498,361119.14719
1499,361119.1472537
1500,361119.1472868
1501,361119.162148
1502,361119.1622275
1503,361119.1622571
1504,361119.1622824
1505,361119.1624817
1506,361119.1626917
1507,361119.1627683
1508,361119.1627998
1509,361119.1776319
1510,361119.1778339
1511,361119.1778928
